UF,Idade,Sexo,Refeicao,protein_g,carbs_g,fat_g,fiber_g,sugar_g,calories,calorie_class,caloria_total,nivel_caloria
AP,30,M,LANCHE,22.5,65.2,13.7,9.9,26.7,479.0,medium,600.7,MEDIA
RS,20,F,LANCHE,15.9,20.7,16.8,7.6,15.0,316.0,low,372.8,BAIXA
PI,57,F,CAFE DA MANHA,28.3,62.4,14.5,10.8,15.3,524.0,medium,576.1,MEDIA
MS,61,M,CAFE DA MANHA,23.3,18.6,7.9,17.0,0.2,250.0,low,273.5,BAIXA
MS,66,M,ALMOCO,30.8,55.1,31.9,12.5,7.2,602.0,medium,684.5,MEDIA
SC,77,M,CAFE DA MANHA,35.5,72.8,19.6,6.7,11.9,634.0,medium,670.6,MEDIA
AP,49,F,ALMOCO,16.1,45.1,9.8,12.5,21.0,374.0,low,442.0,MEDIA
RJ,70,F,JANTAR,38.1,23.1,17.1,0.0,5.6,379.0,low,421.1,MEDIA
CE,63,F,CAFE DA MANHA,31.6,43.3,17.4,5.3,17.4,418.0,medium,536.4,MEDIA
AP,35,M,ALMOCO,21.4,76.1,18.1,2.0,23.0,566.0,medium,648.9,MEDIA
PB,71,M,LANCHE,46.5,58.6,21.1,1.2,11.8,609.0,medium,659.9,MEDIA
TO,21,F,ALMOCO,15.2,50.9,22.7,2.4,16.4,507.0,medium,539.1,MEDIA
RN,55,M,CAFE DA MANHA,36.7,41.4,21.6,5.3,0.0,495.0,medium,517.4,MEDIA
RS,77,F,CAFE DA MANHA,17.9,62.6,22.8,10.3,15.6,543.0,medium,610.2,MEDIA
RN,59,M,JANTAR,33.2,61.6,18.0,3.8,17.4,528.0,medium,618.4,MEDIA
RO,77,M,CAFE DA MANHA,15.7,30.0,27.0,2.5,5.1,436.0,medium,451.2,MEDIA
PA,21,F,LANCHE,7.5,30.9,15.0,4.9,20.3,287.0,low,379.6,BAIXA
AM,51,F,LANCHE,24.2,45.1,23.0,11.3,2.2,471.0,medium,515.6,MEDIA
RR,67,F,ALMOCO,27.6,13.8,21.5,15.2,31.0,355.0,low,513.5,MEDIA
MG,58,M,LANCHE,23.2,54.2,18.7,10.7,19.4,494.0,medium,576.9,MEDIA
PA,73,O,CAFE DA MANHA,16.7,59.5,17.0,13.6,17.7,471.0,medium,555.8,MEDIA
MT,47,F,ALMOCO,3.7,71.2,16.6,3.7,39.4,433.0,medium,614.0,MEDIA
BA,61,F,ALMOCO,41.3,50.3,0.0,6.4,31.0,341.0,low,503.2,MEDIA
SE,44,F,JANTAR,20.1,56.5,27.6,9.9,13.8,553.0,medium,629.8,MEDIA
RO,72,F,CAFE DA MANHA,24.6,79.9,17.2,12.7,21.3,589.0,medium,683.4,MEDIA
PI,25,F,CAFE DA MANHA,22.5,30.0,15.2,9.9,18.8,352.0,low,441.8,MEDIA
MT,34,M,JANTAR,33.9,63.6,26.9,6.0,12.3,615.0,medium,693.3,MEDIA
RR,24,M,CAFE DA MANHA,25.2,68.5,24.2,10.3,12.2,615.0,medium,662.0,MEDIA
PB,62,F,JANTAR,23.6,57.7,20.3,13.1,21.7,525.0,medium,620.9,MEDIA
MS,32,M,LANCHE,27.4,25.5,20.2,3.5,14.5,367.0,low,458.4,MEDIA
MG,37,M,LANCHE,21.5,52.2,27.8,9.6,9.3,554.0,medium,601.4,MEDIA
DF,70,F,LANCHE,12.0,68.0,23.4,10.9,33.9,558.0,medium,688.0,MEDIA
AP,40,M,LANCHE,9.4,24.4,15.6,10.7,15.8,234.0,low,360.2,BAIXA
PB,27,F,CAFE DA MANHA,23.0,43.5,9.0,1.7,28.6,378.0,low,464.8,MEDIA
SC,19,F,JANTAR,16.0,46.2,17.4,16.1,19.6,445.0,medium,516.0,MEDIA
AL,32,M,JANTAR,18.8,8.6,12.4,7.6,16.4,179.0,low,302.0,BAIXA
SC,75,F,JANTAR,19.8,43.8,24.3,5.6,12.2,464.0,medium,533.1,MEDIA
RR,52,M,LANCHE,24.7,37.3,15.7,6.5,32.6,395.0,low,532.7,MEDIA
ES,80,F,ALMOCO,21.6,104.2,13.8,14.3,8.6,624.0,medium,690.4,MEDIA
PI,31,F,ALMOCO,29.8,31.2,19.3,7.2,30.4,431.0,medium,553.7,MEDIA
BA,40,M,CAFE DA MANHA,16.3,67.1,16.5,3.5,10.4,455.0,medium,530.7,MEDIA
RS,28,M,ALMOCO,6.2,91.5,24.9,7.1,9.0,654.0,medium,665.1,MEDIA
RJ,43,M,LANCHE,29.1,104.4,1.3,0.2,4.7,570.0,medium,564.9,MEDIA
MA,53,M,LANCHE,37.2,30.0,10.6,14.4,22.9,345.0,low,484.6,MEDIA
AL,68,M,ALMOCO,33.8,42.3,13.8,8.4,17.0,469.0,medium,513.4,MEDIA
TO,41,O,ALMOCO,29.9,54.7,11.6,1.9,18.4,447.0,medium,520.2,MEDIA
MG,66,M,LANCHE,28.7,23.0,26.2,6.8,1.2,444.0,medium,461.0,MEDIA
SP,57,F,ALMOCO,25.5,26.8,30.9,8.3,8.0,498.0,medium,535.9,MEDIA
RJ,36,M,JANTAR,24.5,72.3,20.1,1.6,13.2,515.0,medium,624.1,MEDIA
RO,75,O,LANCHE,21.8,62.1,21.7,5.5,13.9,546.0,medium,597.5,MEDIA
RS,45,M,CAFE DA MANHA,38.6,43.9,30.5,10.1,21.4,565.0,medium,710.3,ALTA
CE,27,M,CAFE DA MANHA,21.3,106.5,12.6,0.2,28.6,643.0,medium,739.4,ALTA
MA,78,F,LANCHE,37.4,33.1,10.7,12.4,13.9,355.0,low,458.7,MEDIA
MG,75,M,ALMOCO,5.9,67.6,28.4,6.5,21.7,560.0,medium,649.4,MEDIA
PA,21,F,JANTAR,25.4,42.7,23.4,4.4,12.0,446.0,medium,539.8,MEDIA
AL,74,M,CAFE DA MANHA,13.2,77.4,16.8,6.5,16.0,500.0,medium,590.6,MEDIA
PB,77,F,CAFE DA MANHA,29.4,50.4,41.0,4.4,13.9,689.0,medium,752.6,ALTA
BA,70,F,ALMOCO,28.5,15.6,3.8,3.2,2.5,183.0,low,227.0,BAIXA
RS,34,F,LANCHE,31.3,76.3,29.3,5.7,25.3,654.0,medium,806.7,ALTA
RJ,57,M,JANTAR,28.6,48.7,23.8,11.7,6.1,514.0,medium,571.2,MEDIA
SP,51,M,JANTAR,12.8,79.9,17.7,9.3,1.5,552.0,medium,554.7,MEDIA
RS,57,M,ALMOCO,9.0,35.5,15.2,6.2,20.8,321.0,low,410.4,MEDIA
MA,56,M,JANTAR,19.4,20.8,21.6,3.2,12.2,341.0,low,410.4,MEDIA
TO,58,M,CAFE DA MANHA,18.2,50.0,18.5,3.7,12.3,406.0,medium,495.9,MEDIA
MS,50,O,LANCHE,31.3,82.9,16.1,8.4,8.2,652.0,medium,651.3,MEDIA
GO,61,F,JANTAR,18.9,56.4,24.9,7.9,10.6,472.0,medium,583.5,MEDIA
SP,51,F,ALMOCO,32.1,20.1,13.2,9.0,0.0,323.0,low,345.6,BAIXA
MT,19,M,JANTAR,35.5,45.7,24.9,9.7,2.4,605.0,medium,577.9,MEDIA
AP,20,M,CAFE DA MANHA,26.6,42.1,24.3,9.0,1.9,511.0,medium,519.1,MEDIA
MG,78,F,CAFE DA MANHA,28.4,28.6,30.9,7.4,17.1,510.0,medium,589.3,MEDIA
RO,75,M,ALMOCO,19.1,93.9,26.1,3.4,30.7,658.0,medium,816.5,ALTA
CE,54,M,JANTAR,41.4,42.2,10.7,2.9,0.0,401.0,medium,436.5,MEDIA
MG,28,F,ALMOCO,25.5,15.2,24.6,0.8,15.6,362.0,low,448.2,MEDIA
AM,67,F,JANTAR,38.6,42.8,19.7,8.7,14.2,432.0,medium,577.1,MEDIA
RJ,27,O,CAFE DA MANHA,1.1,55.7,26.4,10.2,0.0,492.0,medium,485.2,MEDIA
MG,41,M,LANCHE,38.5,64.7,32.0,7.5,21.6,720.0,high,802.2,ALTA
GO,38,F,LANCHE,16.0,64.3,35.6,3.9,19.8,643.0,medium,728.6,ALTA
DF,18,M,CAFE DA MANHA,21.0,62.1,14.3,6.1,13.8,450.0,medium,528.5,MEDIA
PR,68,M,LANCHE,52.2,50.3,28.9,13.2,5.4,668.0,medium,718.1,ALTA
RJ,50,F,LANCHE,37.4,4.9,27.7,8.1,18.0,418.0,medium,506.7,MEDIA
